Gender,Age at time of application,Year of Application,A-levels scores,Education,University Name,Address,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Refree 1,Refree 2,Refree 3,Was Hired by a Company within 6 months
Female,40,2008,81,Law,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,Lancashire,Salaried,Law,0,1,Self Business:Health,Salaried:Accounting,Contractual:Arts,1
Non-binary,48,2001,52,Arts,UNIVERSITY OF PORTSMOUTH,Pembrokeshire,Contractual,Arts,145882,0,NA,NA,NA,0
Female,48,2005,77,STEM,UNIVERSITY OF STIRLING,Cambridgeshire,None,None,0,1,Contractual:Arts,Self Business:Arts,Self Business:Accounting,0
Non-binary,40,1999,46,STEM,UNIVERSITY OF KENT,Armagh,Self Business,IT,96719,1,Contractual:Law,Salaried:Engineering,Self Business:Accounting,0
Non-binary,41,2003,65,Law,UNIVERSITY OF SHEFFIELD,Wiltshire,Salaried,IT,74300,1,Salaried:IT,Salaried:Arts,Contractual:Engineering,0
Male,43,2010,81,Business,Universirt of Cambridge,Lancashire,Salaried,Health,0,1,Self Business:Transportation,Salaried:Law,Contractual:Health,1
Trans,49,2019,46,STEM,GUILDHALL SCHOOL OF MUSIC & DRAMA,Shropshire,Salaried,Transportation,142399,1,Contractual:Transportation,Self Business:Health,Contractual:Accounting,0
Male,46,2009,82,Arts,UNIVERSITY OF GREENWICH,South Yorkshire,Salaried,Accounting,46975,1,Salaried:Engineering,Salaried:Health,Contractual:Arts,1
Non-binary,45,1998,80,STEM,ROYAL COLLEGE OF MUSIC,Cumbria,None,None,0,0,NA,NA,NA,0
Female,43,2016,89,Business,IMPERIAL COLLEGE LONDON,Warwickshire,Self Business,Health,137643,1,Salaried:Accounting,Salaried:Health,Contractual:IT,1
Female,43,2001,69,Law,CARDIFF UNIVERSITY,Perth and Kinross,Self Business,IT,118827,0,NA,NA,NA,0
Male,42,1999,66,Arts,UNIVERSITY OF READING,Carmarthenshire,Contractual,IT,54258,1,Salaried:Engineering,Self Business:Health,Self Business:Law,0
Female,47,2016,71,Law,UNIVERSITY OF SOUTHAMPTON,Antrim,Salaried,Health,72661,1,Self Business:Accounting,Self Business:Accounting,Self Business:Engineering,1
Trans,40,2003,57,Business,UNIVERSITY OF GLASGOW,Durham,Contractual,Health,96328,1,Self Business:Accounting,Salaried:Transportation,Salaried:Transportation,0
Non-binary,41,1998,59,Arts,BATH SPA UNIVERSITY,East Sussex,None,None,0,1,Self Business:IT,Self Business:Health,Contractual:Arts,0
Female,45,2017,53,Arts,BATH SPA UNIVERSITY,Anglesey,Self Business,Arts,87583,1,Salaried:Engineering,Salaried:IT,Self Business:Transportation,0
Male,47,2011,86,Business,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,Glamorgan,Contractual,Accounting,93484,1,Salaried:Accounting,Salaried:Accounting,Contractual:Transportation,1
Trans,42,2017,81,STEM,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,Stirling,Self Business,IT,102912,1,Self Business:Health,Contractual:IT,Salaried:Accounting,1
Trans,48,2017,68,Law,LEEDS TRINITY UNIVERSITY,Fife,None,None,0,1,Contractual:Accounting,Contractual:IT,Contractual:Law,0
Trans,48,2019,73,STEM, University of Oxford,Antrim,Salaried,Engineering,116159,1,Self Business:Engineering,Salaried:Engineering,Contractual:Engineering,1
